
City,City ID,Bounce Rate,Users
Pikesville,1018683,100.00%,1
Minneapolis,1019973,100.00%,1
Chesterfield,1020256,100.00%,1
Kansas City,1020414,100.00%,1
Rolla,1020582,100.00%,1
St. Louis,1020618,100.00%,1
Cornelius,1021067,100.00%,1
Fargo,1021434,100.00%,1
Lincoln,1021696,100.00%,1
Dover,1021840,100.00%,1
Manchester,1021903,100.00%,1
Belleville,1022025,100.00%,1
Demarest,1022094,100.00%,1
Fort Lee,1022136,100.00%,1
Hasbrouck Heights,1022167,100.00%,1
New Brunswick,1022294,100.00%,1
Passaic,1022330,100.00%,1
Rahway,1022364,100.00%,1
Rutherford,1022393,100.00%,1
Secaucus,1022403,100.00%,1
Summit,1022433,100.00%,1
West Orange,1022470,100.00%,1
Westfield,1022471,100.00%,2
Carson City,1022620,100.00%,1
Las Vegas,1022639,100.00%,1
Albany,1022672,100.00%,1
Baldwinsville,1022711,100.00%,1
Centereach,1022792,100.00%,1
Troy,1023427,100.00%,2
Dublin,1023671,100.00%,1
Edmond,1024188,100.00%,1
Norman,1024283,100.00%,1
Boardman,1024403,100.00%,416
Portland,1024543,100.00%,1
Bensalem,1024657,100.00%,1
Irmo,1025580,100.00%,1
Cleveland,1026298,100.00%,1
Denton,1026350,100.00%,1
Ashburn,1027028,100.00%,3
Leesburg,1027188,100.00%,1
Vienna,1027317,100.00%,1
Quincy,1027721,100.00%,1
Appleton,1027830,100.00%,1
Oregon,1028134,100.00%,1
Aspen Hill,9051526,100.00%,1
Cinco Ranch,9051734,100.00%,1
Coral Springs,9051769,100.00%,1
Idylwood,9052178,100.00%,1
Manchester,9052377,100.00%,1
Old Bridge Township,9052594,100.00%,1
Pecan Grove,9052652,100.00%,1
Pittsfield Charter Township,9052678,100.00%,1
Plymouth Charter Township,9052692,100.00%,1
South Barrington,9052865,100.00%,1
Thornton,9052979,100.00%,1
University City,9053026,100.00%,1
Wallingford,9053073,100.00%,1
Woodbourne,9053194,100.00%,1
Woodbridge Township,9053196,100.00%,1
Youngsville,9053227,100.00%,1
Delhi,9075215,100.00%,2
Plano,1026695,83.33%,6
Zurich,1003297,80.00%,2
Short Pump,9052847,80.00%,3
Jersey City,1022194,75.00%,4
Getzville,1022943,75.00%,4
Cranberry Township,1024771,75.00%,3
Adelaide,1000422,66.67%,2
London,1006886,66.67%,3
Istanbul,1012782,66.67%,3
Oakland,1014080,66.67%,3
Orange,1014090,66.67%,2
Weston,1015230,66.67%,3
Boston,1018127,66.67%,6
Nashville,1026083,66.67%,5
Austin,1026201,66.67%,3
Reston,1027266,66.67%,3
Irvine,1013883,62.07%,28
Vienna,1000997,60.00%,5
New York,1023191,58.49%,46
Chicago,1016367,55.88%,28
Fort Collins,1014517,55.56%,7
Graz,1000900,50.00%,2
Kitchener,1002312,50.00%,1
Ottawa,1002376,50.00%,10
Erlangen,1004151,50.00%,1
Kaiserslautern,1004805,50.00%,2
Richmond,1014187,50.00%,4
Denver,1014485,50.00%,2
Washington,1014895,50.00%,18
Tallahassee,1015213,50.00%,2
Evanston,1016453,50.00%,3
Amherst,1018094,50.00%,2
Gaithersburg,1018594,50.00%,2
Rockville,1018700,50.00%,4
Detroit,1019250,50.00%,2
Grand Rapids,1019316,50.00%,2
Columbia,1020268,50.00%,4
Raleigh,1021278,50.00%,3
Omaha,1021721,50.00%,1
Newark,1022300,50.00%,2
Scotch Plains,1022398,50.00%,2
Reno,1022653,50.00%,1
Manlius,1023118,50.00%,2
Ossining,1023234,50.00%,2
Voorheesville,1023447,50.00%,1
Westlake,1024088,50.00%,2
Canonsburg,1024714,50.00%,1
Jamison,1024967,50.00%,2
Upper Darby,1025356,50.00%,2
Brentwood,1025928,50.00%,2
Flower Mound,1026398,50.00%,2
Bellevue,1027509,50.00%,2
Andover,9051510,50.00%,2
Davie,9051808,50.00%,2
Royal Palm Beach,9052784,50.00%,2
Sharon,9052830,50.00%,2
Wauwatosa,9053089,50.00%,2
Los Angeles,1013962,47.83%,22
Philadelphia,1025197,46.67%,28
San Francisco,1014221,45.00%,20
Montreal,1002604,44.44%,9
Houston,1026481,44.00%,20
(not set),(not set),43.87%,176
College Station,1026305,43.75%,3
Syracuse,1023416,41.67%,9
Berlin,1003854,40.00%,5
Paris,1006094,40.00%,5
Riverside,1014197,40.00%,5
Morgantown,1028383,40.00%,4
Wyoming,9053218,35.29%,2
Edmonton,1001808,33.33%,3
Toronto,1002451,33.33%,9
Espoo,1005576,33.33%,1
Laguna Niguel,1013922,33.33%,6
Rancho Cucamonga,1014167,33.33%,2
San Jose,1014226,33.33%,9
San Mateo,1014237,33.33%,2
Baltimore,1018511,33.33%,5
Bethesda,1018516,33.33%,3
Germantown,1018598,33.33%,3
Hackensack,1022155,33.33%,2
Paramus,1022326,33.33%,6
Buffalo,1022764,33.33%,3
Hazleton,1024931,33.33%,2
Allen,1026178,33.33%,3
Frisco,1026407,33.33%,6
Fort Worth,1026411,33.33%,3
Burke,1027059,33.33%,2
Winchester,1027339,33.33%,1
Jersey Village,9052205,33.33%,2
Tysons,9053018,33.33%,3
Dallas,1026339,30.77%,18
San Diego,1014218,30.00%,9
Atlanta,1015254,28.57%,6
North Tonawanda,1023207,28.57%,5
Milwaukee,1028087,28.00%,19
Ithaca,1023037,27.78%,16
Seattle,1027744,27.27%,9
Richmond Hill,1002405,25.00%,7
Campbell,1013642,25.00%,2
Martinez,1013988,25.00%,3
Colorado Springs,1014471,25.00%,4
Blacksburg,1027041,25.00%,3
Waukesha,1028265,25.00%,4
Brambleton,9051628,25.00%,2
Fulshear,9052003,25.00%,3
Sahibzada Ajit Singh Nagar,9050511,22.86%,6
Schaumburg,1016834,20.00%,3
San Antonio,1026759,20.00%,5
Dusseldorf,1004615,16.67%,3
Columbus,1023640,16.67%,6
Stockholm,1012228,14.29%,5
Corpus Christi,1026319,14.29%,5
McKinney,1026607,14.29%,6
Madison,1028057,14.29%,4
Santa Clara,1014249,11.11%,7
Hornell,1023014,9.96%,29
Alfred,1022678,8.76%,20
Dubai,1000013,0.00%,1
Melbourne,1000567,0.00%,1
Brussels,1001004,0.00%,1
Calgary,1001801,0.00%,1
Grande Prairie,1001816,0.00%,1
New Westminster,1001929,0.00%,2
North Vancouver,1001931,0.00%,3
Vancouver,1001970,0.00%,1
Bedford,1002108,0.00%,1
Aurora,1002168,0.00%,1
Brantford,1002192,0.00%,1
London,1002325,0.00%,1
Gatineau,1002549,0.00%,1
Sainte-Julie,1002698,0.00%,1
Barcelona,1005424,0.00%,2
Peterborough,1006984,0.00%,1
Wembley,1007210,0.00%,2
Glasgow,1007336,0.00%,1
Cardiff,1007416,0.00%,1
Budapest,1007633,0.00%,2
Szeged,1007642,0.00%,1
Cornaredo,1008439,0.00%,1
Nur-Sultan,1009806,0.00%,1
Moscow,1011969,0.00%,1
Linkoping,1012321,0.00%,1
Chandler,1013387,0.00%,1
Phoenix,1013462,0.00%,2
Albany,1013529,0.00%,1
Aliso Viejo,1013532,0.00%,4
Beverly Hills,1013587,0.00%,1
Calabasas,1013630,0.00%,1
Concord,1013697,0.00%,1
Davis,1013721,0.00%,1
El Dorado Hills,1013755,0.00%,1
Hercules,1013854,0.00%,1
Hermosa Beach,1013856,0.00%,1
Hollister,1013861,0.00%,1
Indio,1013879,0.00%,3
Laguna Beach,1013920,0.00%,1
Lincoln,1013945,0.00%,1
Livermore,1013950,0.00%,1
Milpitas,1014012,0.00%,2
Monrovia,1014022,0.00%,1
Mountain View,1014044,0.00%,2
Orinda,1014093,0.00%,1
Palo Alto,1014109,0.00%,1
Pleasanton,1014149,0.00%,2
Pomona,1014155,0.00%,1
Sacramento,1014208,0.00%,1
San Gabriel,1014222,0.00%,1
Saratoga,1014260,0.00%,1
Torrance,1014339,0.00%,1
Tustin,1014352,0.00%,1
Estes Park,1014505,0.00%,1
Parker,1014602,0.00%,1
Hockessin,1014915,0.00%,1
Boca Raton,1014959,0.00%,1
Melbourne,1015113,0.00%,1
Orlando,1015150,0.00%,4
Lilburn,1015413,0.00%,1
Marietta,1015431,0.00%,3
Woodstock,1015563,0.00%,1
Ames,1015640,0.00%,1
Elk Grove Village,1016441,0.00%,1
Urbana,1016916,0.00%,1
West Lafayette,1017365,0.00%,1
Cambridge,1018145,0.00%,2
Natick,1018315,0.00%,1
Waltham,1018450,0.00%,1
Winchester,1018492,0.00%,1
Worcester,1018497,0.00%,1
College Park,1018550,0.00%,2
Severn,1018705,0.00%,1
Takoma Park,1018725,0.00%,1
Ann Arbor,1019126,0.00%,2
Dearborn Heights,1019245,0.00%,1
Novi,1019496,0.00%,1
Southfield,1019594,0.00%,1
Apex,1020988,0.00%,2
Charlotte,1021048,0.00%,3
Kernersville,1021168,0.00%,1
Merrimack,1021908,0.00%,1
Cherry Hill,1022070,0.00%,1
Clifton,1022079,0.00%,2
Edgewater,1022104,0.00%,1
Englewood,1022113,0.00%,1
Fair Lawn,1022119,0.00%,1
Harrison,1022165,0.00%,1
Kearny,1022197,0.00%,1
Mahwah,1022237,0.00%,1
Metuchen,1022257,0.00%,1
Moorestown,1022277,0.00%,1
Ridgewood,1022374,0.00%,2
Voorhees Township,1022455,0.00%,1
East Greenbush,1022873,0.00%,1
Eastchester,1022886,0.00%,1
Moravia,1023168,0.00%,1
New City,1023184,0.00%,1
Poughkeepsie,1023285,0.00%,1
Cincinnati,1023626,0.00%,1
Cleveland,1023631,0.00%,1
Painesville,1023922,0.00%,1
Sylvania,1024025,0.00%,1
Toledo,1024034,0.00%,1
Oklahoma City,1024290,0.00%,2
Stillwater,1024339,0.00%,1
Bala Cynwyd,1024640,0.00%,1
Chalfont,1024728,0.00%,1
Glenshaw,1024899,0.00%,1
King of Prussia,1024985,0.00%,1
Lansdale,1025005,0.00%,1
Wayne,1025385,0.00%,1
Providence,1025477,0.00%,1
Cookeville,1025954,0.00%,1
Memphis,1026069,0.00%,1
Arlington,1026194,0.00%,3
Bryan,1026250,0.00%,2
Forney,1026401,0.00%,1
Garland,1026419,0.00%,1
Kingsville,1026529,0.00%,1
Mesquite,1026619,0.00%,1
Odessa,1026661,0.00%,2
Richardson,1026729,0.00%,3
Provo,1026980,0.00%,1
Alexandria,1027019,0.00%,1
Arcola,1027025,0.00%,1
Arlington,1027027,0.00%,3
Forest,1027127,0.00%,1
McLean,1027213,0.00%,2
Newport News,1027237,0.00%,1
Springfield,1027289,0.00%,1
South Burlington,1027451,0.00%,1
Bellingham,1027510,0.00%,1
Everett,1027583,0.00%,3
Kirkland,1027627,0.00%,2
Pullman,1027718,0.00%,1
Cedarburg,1027899,0.00%,2
Grafton,1027987,0.00%,1
La Crosse,1028036,0.00%,1
Mequon,1028078,0.00%,2
Middleton,1028084,0.00%,1
New Berlin,1028109,0.00%,1
Oak Creek,1028122,0.00%,2
Sturtevant,1028231,0.00%,1
Sun Prairie,1028233,0.00%,1
Sandefjord,9047427,0.00%,1
Aventura,9051532,0.00%,1
Bee Cave,9051566,0.00%,1
Brown Deer,9051658,0.00%,2
Egypt Lake-Leto,9051897,0.00%,1
Fox Point,9051983,0.00%,1
Granite Bay,9052048,0.00%,1
Highlands Ranch,9052133,0.00%,1
Jefferson,9052200,0.00%,1
Kaanapali,9052213,0.00%,1
Mayfield Heights,9052406,0.00%,1
Mill Creek,9052439,0.00%,1
Pike Creek,9052669,0.00%,1
Shaker Heights,9052828,0.00%,1
South Kingstown,9052875,0.00%,1
South Salt Lake,9052882,0.00%,2
Tonawanda,9052994,0.00%,1
Town 'n' Country,9052998,0.00%,1
Union Park,9053023,0.00%,1
University Park,9053028,0.00%,1
Webster Groves,9053090,0.00%,1
West Falls Church,9053111,0.00%,1
West Goshen,9053112,0.00%,1
West Melbourne,9053118,0.00%,1
West Windsor Township,9053131,0.00%,1
Wetherington,9053145,0.00%,1
Whitefish Bay,9053156,0.00%,3
York charter Township,9053224,0.00%,1
,,46.29%,"1,648"
,,,
Day Index,Bounce Rate,,
5/1/2019,16.67%,,
5/2/2019,0.00%,,
5/3/2019,25.00%,,
5/4/2019,0.00%,,
5/5/2019,100.00%,,
5/6/2019,50.00%,,
5/7/2019,100.00%,,
5/8/2019,25.00%,,
5/9/2019,0.00%,,
5/10/2019,0.00%,,
5/11/2019,0.00%,,
5/12/2019,0.00%,,
5/13/2019,0.00%,,
5/14/2019,0.00%,,
5/15/2019,0.00%,,
5/16/2019,20.00%,,
5/17/2019,33.33%,,
5/18/2019,100.00%,,
5/19/2019,0.00%,,
5/20/2019,44.44%,,
5/21/2019,36.36%,,
5/22/2019,14.29%,,
5/23/2019,35.00%,,
5/24/2019,81.25%,,
5/25/2019,12.50%,,
5/26/2019,54.55%,,
5/27/2019,30.77%,,
5/28/2019,42.59%,,
5/29/2019,37.84%,,
5/30/2019,19.23%,,
5/31/2019,16.67%,,
6/1/2019,37.84%,,
6/2/2019,27.59%,,
6/3/2019,33.33%,,
6/4/2019,16.67%,,
6/5/2019,40.00%,,
6/6/2019,56.25%,,
6/7/2019,36.36%,,
6/8/2019,56.52%,,
6/9/2019,33.33%,,
6/10/2019,20.00%,,
6/11/2019,20.00%,,
6/12/2019,16.67%,,
6/13/2019,16.67%,,
6/14/2019,27.27%,,
6/15/2019,33.33%,,
6/16/2019,0.00%,,
6/17/2019,75.00%,,
6/18/2019,6.67%,,
6/19/2019,31.58%,,
6/20/2019,36.11%,,
6/21/2019,24.32%,,
6/22/2019,26.67%,,
6/23/2019,50.00%,,
6/24/2019,50.00%,,
6/25/2019,0.00%,,
6/26/2019,14.29%,,
6/27/2019,0.00%,,
6/28/2019,38.10%,,
6/29/2019,22.22%,,
6/30/2019,14.29%,,
7/1/2019,25.00%,,
7/2/2019,0.00%,,
7/3/2019,100.00%,,
7/4/2019,100.00%,,
7/5/2019,100.00%,,
7/6/2019,50.00%,,
7/7/2019,0.00%,,
7/8/2019,42.00%,,
7/9/2019,33.33%,,
7/10/2019,37.50%,,
7/11/2019,100.00%,,
7/12/2019,50.00%,,
7/13/2019,62.50%,,
7/14/2019,50.00%,,
7/15/2019,23.08%,,
7/16/2019,46.67%,,
7/17/2019,40.00%,,
7/18/2019,100.00%,,
7/19/2019,0.00%,,
7/20/2019,50.00%,,
7/21/2019,100.00%,,
7/22/2019,0.00%,,
7/23/2019,50.00%,,
7/24/2019,0.00%,,
7/25/2019,100.00%,,
7/26/2019,0.00%,,
7/27/2019,0.00%,,
7/28/2019,100.00%,,
7/29/2019,83.33%,,
7/30/2019,100.00%,,
7/31/2019,0.00%,,
8/1/2019,0.00%,,
8/2/2019,100.00%,,
8/3/2019,0.00%,,
8/4/2019,0.00%,,
8/5/2019,50.00%,,
8/6/2019,20.00%,,
8/7/2019,0.00%,,
8/8/2019,33.33%,,
8/9/2019,0.00%,,
8/10/2019,0.00%,,
8/11/2019,44.44%,,
8/12/2019,22.22%,,
8/13/2019,12.50%,,
8/14/2019,20.00%,,
8/15/2019,100.00%,,
8/16/2019,50.00%,,
8/17/2019,66.67%,,
8/18/2019,66.67%,,
8/19/2019,0.00%,,
8/20/2019,100.00%,,
8/21/2019,35.71%,,
8/22/2019,40.00%,,
8/23/2019,50.00%,,
8/24/2019,55.56%,,
8/25/2019,50.00%,,
8/26/2019,0.00%,,
8/27/2019,33.33%,,
8/28/2019,27.78%,,
8/29/2019,19.05%,,
8/30/2019,44.44%,,
8/31/2019,6.67%,,
9/1/2019,36.67%,,
9/2/2019,39.39%,,
9/3/2019,51.43%,,
9/4/2019,44.44%,,
9/5/2019,100.00%,,
9/6/2019,0.00%,,
9/7/2019,42.86%,,
9/8/2019,16.67%,,
9/9/2019,0.00%,,
9/10/2019,14.29%,,
9/11/2019,0.00%,,
9/12/2019,33.33%,,
9/13/2019,21.43%,,
9/14/2019,66.67%,,
9/15/2019,0.00%,,
9/16/2019,0.00%,,
9/17/2019,0.00%,,
9/18/2019,54.55%,,
9/19/2019,41.18%,,
9/20/2019,50.00%,,
9/21/2019,33.33%,,
9/22/2019,0.00%,,
9/23/2019,33.33%,,
9/24/2019,25.00%,,
9/25/2019,71.43%,,
9/26/2019,54.55%,,
9/27/2019,71.97%,,
9/28/2019,85.79%,,
9/29/2019,40.62%,,
9/30/2019,50.00%,,
10/1/2019,23.08%,,
10/2/2019,33.33%,,
10/3/2019,43.48%,,
10/4/2019,5.88%,,
10/5/2019,16.67%,,
10/6/2019,17.39%,,
10/7/2019,39.39%,,
10/8/2019,30.56%,,
10/9/2019,25.00%,,
10/10/2019,9.09%,,
10/11/2019,25.00%,,
10/12/2019,0.00%,,
10/13/2019,33.33%,,
10/14/2019,40.00%,,
10/15/2019,33.33%,,
10/16/2019,73.91%,,
10/17/2019,60.00%,,
10/18/2019,60.00%,,
10/19/2019,66.67%,,
10/20/2019,0.00%,,
10/21/2019,0.00%,,
10/22/2019,66.67%,,
10/23/2019,50.00%,,
10/24/2019,0.00%,,
10/25/2019,0.00%,,
10/26/2019,57.14%,,
10/27/2019,25.00%,,
10/28/2019,50.00%,,
10/29/2019,60.00%,,
10/30/2019,50.00%,,
10/31/2019,66.67%,,
11/1/2019,50.00%,,
11/2/2019,62.50%,,
11/3/2019,7.69%,,
11/4/2019,42.86%,,
11/5/2019,25.00%,,
,46.29%,,
